participant,exp,total_alpha_dB,relative_alpha_dB,channels,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,delta_CF_Hz_peak,mean_delta_cf,relative_delta_dB,total_delta_dB,delta_BW_Hz_peak,delta_BW_Hz_sum,theta_CF_Hz_peak,mean_theta_cf,relative_theta_dB,total_theta_dB,theta_BW_Hz_peak,theta_BW_Hz_sum,beta_CF_Hz_peak,mean_beta_cf,relative_beta_dB,total_beta_dB,beta_BW_Hz_peak,beta_BW_Hz_sum,gamma_CF_Hz_peak,mean_gamma_cf,relative_gamma_dB,total_gamma_dB,gamma_BW_Hz_peak,gamma_BW_Hz_sum
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,T7,-9.822964,1.682542,0.991522,0.029274,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.996938,28.996938,1.835665,1.835665,1.852834,1.852834,38.122592,35.448476,2.426114,3.887523,2.270167,4.445416
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,TP9,-9.299445,2.152675,0.995392,0.032757,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.233624,38.233624,1.218256,1.218256,1.458177,1.458177
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP5,-9.577005,2.068266,0.992875,0.038347,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP1,-9.68045,2.22431,0.992196,0.038344,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.34873,16.34873,2.051829,2.051829,4.688105,4.688105,38.68749,38.68749,0.954973,0.954973,1.4,1.4
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Pz,-9.479714,2.281553,0.990843,0.047338,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.124536,16.124536,2.044668,2.044668,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P3,-9.491927,2.182204,0.993132,0.041784,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.63608,16.63608,2.17436,2.17436,7.710719,7.710719,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P7,-9.156841,2.313743,0.991918,0.053267,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,O1,-9.139494,2.377011,0.992824,0.047797,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.057813,16.057813,2.526786,2.526786,6.99872,6.99872,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Oz,-9.148618,2.366357,0.984105,0.073216,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,O2,-9.203057,2.307567,0.983045,0.074988,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P4,-9.468414,2.241481,0.990359,0.050843,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.612228,17.612228,1.588267,1.588267,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,P8,-9.190699,2.31857,0.986557,0.061663,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,TP10,-9.394973,2.145724,0.991403,0.046982,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP6,-9.753604,1.973004,0.988527,0.048891,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP2,-9.69247,2.265674,0.993664,0.035255,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.84699,23.543038,2.238986,4.768232,5.058974,8.061604,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Cz,-10.576314,1.94629,0.992105,0.030575,0,0,0,0,0,0,6.995511,6.995511,2.167042,2.167042,1.740116,1.740116,15.952545,16.585143,1.709847,3.081157,1.4,2.8,31.459079,35.407569,1.913989,3.430494,7.853957,9.307937
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,C4,-10.087842,1.894485,0.987438,0.045694,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.419683,16.419683,2.000569,2.000569,2.721764,2.721764,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,T8,-9.745284,1.85343,0.985855,0.043942,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.015657,36.00706,2.003135,3.288821,5.752477,7.152477
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FT10,-9.509076,2.070492,0.987962,0.043905,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.033783,18.033783,1.152078,1.152078,1.4,1.4,36.009574,36.009574,1.091266,1.091266,8.0,8.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FC6,-10.969211,0.843157,0.900805,0.065459,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.194026,22.954135,2.091032,4.109844,3.034456,4.434456,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FC2,-11.903819,0.801221,0.977543,0.030446,0,0,0,0,0,0,6.564252,6.564252,4.255092,4.255092,1.921545,1.921545,23.304642,21.270818,2.117807,7.285889,5.140164,9.841942,31.104832,31.104832,1.211315,1.211315,1.4,1.4
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,F4,-11.645522,0.367732,0.59559,0.066497,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.767042,23.407522,2.773627,5.200281,2.858072,7.664367,35.480661,33.170663,1.395715,2.569598,1.4,2.8
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,F8,-10.078092,1.654863,0.987452,0.040859,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.560586,21.956842,1.289501,2.345117,1.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Fp2,-10.175227,1.84779,0.99288,0.033826,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.259427,26.259427,0.475678,0.475678,1.4,1.4,39.796644,39.796644,1.754018,1.754018,4.513832,4.513832
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,Fp1,-9.893722,2.071774,0.974606,0.063629,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,Fz,-13.097682,-0.539385,0.9376,0.036412,0,0,0,0,0,0,6.445208,6.445208,5.819186,5.819186,2.178891,2.178891,24.730006,22.195406,3.470486,6.913696,3.505792,8.354278,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,F3,-11.842344,0.087494,0.470007,0.083525,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.381057,22.381057,3.66272,3.66272,6.519254,6.519254,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,F7,-9.812278,1.848303,0.950505,0.087144,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,FT9,-9.628073,1.958354,0.995173,0.029507,0,0,0,0,0,0,6.920115,6.920115,2.467198,2.467198,1.662731,1.662731,15.758988,15.758988,1.456994,1.456994,1.4,1.4,37.718464,35.096466,2.067151,2.883301,3.242458,7.55437
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,FC5,-10.50807,1.066492,0.91065,0.050676,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.539874,29.539874,1.33334,1.33334,2.159611,2.159611,35.133641,35.133641,2.174879,2.174879,7.544694,7.544694
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,C3,-9.892422,2.064778,0.994614,0.030636,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.727787,17.091698,3.061981,4.70653,1.656311,3.456202,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,T7,-10.188083,1.134033,0.896554,0.060053,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.413187,16.413187,2.308991,2.308991,2.865052,2.865052,35.303145,35.303145,3.333725,3.333725,8.0,8.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,TP9,-9.15564,2.322917,0.99473,0.031578,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.804894,15.804894,2.32025,2.32025,1.913325,1.913325,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,CP5,-9.577395,2.04185,0.990859,0.039256,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.672866,17.122907,3.436123,5.069095,2.192144,3.592144,38.262426,34.967889,2.234058,3.507499,4.758033,7.972352
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,CP1,-9.677317,2.274261,0.995119,0.024996,0,0,0,0,0,0,6.899036,6.899036,1.237927,1.237927,1.4,1.4,16.603925,16.603925,2.805834,2.805834,3.805795,3.805795,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,Pz,-9.360686,2.410118,0.992543,0.037483,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.545071,16.545071,2.208178,2.208178,6.794302,6.794302,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,P3,-9.347695,2.320585,0.991265,0.044419,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.314107,15.314107,2.989025,2.989025,6.665882,6.665882,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,P7,-8.950447,2.547015,0.993113,0.041014,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.328269,15.328269,3.45927,3.45927,5.669607,5.669607,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,O1,-8.991876,2.548815,0.991396,0.045807,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.143508,16.143508,2.746787,2.746787,7.641494,7.641494,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,Oz,-9.008877,2.55572,0.992769,0.040953,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.726614,19.19839,2.53803,3.498591,5.704338,13.704338,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,O2,-9.039862,2.507894,0.993868,0.035416,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.012942,19.0643,2.230274,3.339978,6.426708,14.426708,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,P4,-9.214747,2.486987,0.99405,0.033149,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.327634,18.327634,2.075384,2.075384,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,P8,-9.083702,2.440732,0.994466,0.032747,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.869755,16.869755,1.651805,1.651805,7.227874,7.227874,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,TP10,-9.310209,2.24134,0.992673,0.038553,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.482735,16.482735,1.847028,1.847028,3.317607,3.317607,36.785758,36.785758,1.588814,1.588814,1.445043,1.445043
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,CP6,-9.52578,2.209574,0.99487,0.03122,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.293801,16.293801,1.631474,1.631474,7.234752,7.234752,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,CP2,-9.630358,2.347053,0.9951,0.03157,0,0,0,0,0,0,6.883878,6.883878,1.443289,1.443289,1.4,1.4,16.996487,16.996487,1.916652,1.916652,5.052049,5.052049,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,Cz,-10.653389,1.915512,0.994208,0.029848,0,0,0,0,0,0,6.50443,6.50443,3.767413,3.767413,1.4,1.4,29.326302,23.172892,1.677907,3.116566,2.212981,3.782247,34.755051,34.755051,1.01404,1.01404,7.552394,7.552394
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,C4,-9.810007,2.165645,0.996051,0.026451,0,0,0,0,0,0,6.967418,6.967418,1.75013,1.75013,1.4,1.4,16.992713,16.992713,1.999155,1.999155,3.700294,3.700294,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,T8,-9.639783,1.988572,0.984114,0.052161,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.745745,16.872996,1.019067,1.939989,1.4,3.915918,31.503274,31.503274,0.928502,0.928502,1.4,1.4
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,FT10,-9.148173,2.362009,0.986433,0.050066,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.630962,37.630962,1.344665,1.344665,3.506355,3.506355
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,FC6,-10.331158,1.436754,0.91318,0.082813,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,FC2,-11.453168,1.278224,0.991181,0.029227,0,0,0,0,0,0,6.680031,6.680031,4.929208,4.929208,1.567359,1.567359,17.619843,20.754855,1.582095,2.873504,3.844379,5.450248,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,F4,-11.215261,0.824013,0.763005,0.082746,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,highlevel,-0.3051502346471853,0.4881429005604257,F8,-9.898572,1.874539,0.985815,0.046698,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79819,38.79819,1.233105,1.233105,8.0,8.0
