subject,comparison,cluster,p_value,significant,mean_value,cluster_statistic,cluster_size,freq_range,time_range_ms,peak_freq,peak_time_ms
sub-003,highlevelvsbase,7,0.7829,False,-0.0,367.427,55,23.8-28.9,600.0-696.0,25.4,612.0
sub-003,highlevelvsbase,8,0.0048,True,-0.0,6015.2303,683,24.6-40.0,1008.0-2100.0,35.1,1776.0
sub-003,highlevelvsbase,9,0.8609,False,-0.0,304.5555,44,31.9-35.1,816.0-984.0,32.9,864.0
sub-003,highlevelvsbase,10,0.404,False,-0.0,756.5352,81,32.9-40.0,600.0-888.0,40.0,708.0
sub-003,lowlevelvshighlevel,0,1.0,False,0.0,40.4681,10,5.0-5.7,624.0-648.0,5.3,636.0
sub-003,lowlevelvshighlevel,1,1.0,False,-0.0,3.9114,1,5.0-5.0,1224.0-1224.0,5.0,1224.0
sub-003,lowlevelvshighlevel,2,0.9999,False,0.0,49.7472,11,5.0-5.3,1380.0-1428.0,5.0,1404.0
sub-003,lowlevelvshighlevel,3,0.4138,False,0.0,743.9982,148,9.0-14.1,1740.0-1992.0,10.9,1860.0
sub-003,lowlevelvshighlevel,4,0.8182,False,0.0,334.5985,54,13.7-16.6,672.0-780.0,15.1,720.0
sub-003,lowlevelvshighlevel,5,0.3673,False,0.0,819.8148,131,14.1-20.9,1812.0-1992.0,16.6,1872.0
sub-003,lowlevelvshighlevel,6,0.9994,False,0.0,69.7619,15,16.1-16.6,1164.0-1248.0,16.1,1200.0
sub-003,lowlevelvshighlevel,7,1.0,False,0.0,3.9082,1,19.6-19.6,720.0-720.0,19.6,720.0
sub-003,lowlevelvshighlevel,8,0.9996,False,0.0,63.1916,15,20.2-21.6,636.0-708.0,20.9,660.0
sub-003,lowlevelvshighlevel,9,0.9998,False,-0.0,53.3302,12,25.4-26.2,1668.0-1752.0,25.4,1704.0
sub-003,lowlevelvshighlevel,10,0.9858,False,-0.0,147.9917,28,30.8-32.9,1200.0-1344.0,30.8,1260.0
sub-003,lowlevelvshighlevel,11,1.0,False,0.0,8.7284,2,34.0-34.0,600.0-612.0,34.0,600.0
sub-003,lowlevelvshighlevel,12,1.0,False,-0.0,3.897,1,35.1-35.1,792.0-792.0,35.1,792.0
sub-003,lowlevelvshighlevel,13,1.0,False,-0.0,27.3778,6,37.5-37.5,1536.0-1596.0,37.5,1572.0
sub-003,lowlevelvshighlevel,14,1.0,False,-0.0,23.259,5,40.0-40.0,1116.0-1164.0,40.0,1140.0
sub-003,lowlevelvsbase,0,1.0,False,-0.0,20.006,5,5.0-5.2,1260.0-1284.0,5.0,1272.0
sub-003,lowlevelvsbase,1,0.3403,False,0.0,863.0973,159,8.4-11.6,1752.0-1968.0,10.6,1812.0
sub-003,lowlevelvsbase,2,0.9861,False,0.0,151.0916,33,10.2-12.0,828.0-900.0,11.3,864.0
sub-003,lowlevelvsbase,3,0.9266,False,-0.0,238.1256,48,15.6-18.9,1620.0-1752.0,16.6,1668.0
sub-003,lowlevelvsbase,4,0.2674,False,-0.0,1051.7371,168,20.2-30.8,972.0-1176.0,27.1,1080.0
sub-003,lowlevelvsbase,5,0.0046,True,-0.0,6582.578,675,23.0-40.0,1032.0-2052.0,36.3,1800.0
sub-003,lowlevelvsbase,6,1.0,False,-0.0,35.548,8,23.0-23.8,1968.0-2004.0,23.8,1992.0
sub-003,lowlevelvsbase,7,0.9797,False,-0.0,165.3546,36,24.6-28.9,636.0-828.0,28.0,732.0
sub-003,lowlevelvsbase,8,0.2462,False,-0.0,1119.6346,139,31.9-40.0,600.0-1056.0,40.0,600.0
sub-003,highlevelvsbase,0,1.0,False,-0.0,34.7791,8,5.0-5.2,1416.0-1464.0,5.0,1440.0
sub-003,highlevelvsbase,1,0.8084,False,0.0,346.1731,60,9.9-12.4,804.0-900.0,11.3,852.0
sub-003,highlevelvsbase,2,0.3661,False,-0.0,818.099,142,12.8-20.9,1692.0-1908.0,15.6,1836.0
sub-003,highlevelvsbase,3,1.0,False,-0.0,48.0805,11,16.1-16.6,1140.0-1200.0,16.1,1176.0
sub-003,highlevelvsbase,4,1.0,False,-0.0,12.4979,3,20.2-20.9,600.0-612.0,20.9,600.0
sub-003,highlevelvsbase,5,0.6446,False,-0.0,480.6363,95,20.9-28.0,960.0-1248.0,22.3,1176.0
sub-003,highlevelvsbase,6,0.982,False,-0.0,163.5088,33,20.9-23.0,1932.0-2040.0,21.6,1992.0
sub-003,highlevelvsbase,7,0.7829,False,-0.0,367.427,55,23.8-28.9,600.0-696.0,25.4,612.0
sub-003,highlevelvsbase,8,0.0048,True,-0.0,6015.2303,683,24.6-40.0,1008.0-2100.0,35.1,1776.0
sub-003,highlevelvsbase,9,0.8609,False,-0.0,304.5555,44,31.9-35.1,816.0-984.0,32.9,864.0
sub-003,highlevelvsbase,10,0.404,False,-0.0,756.5352,81,32.9-40.0,600.0-888.0,40.0,708.0
sub-003,lowlevelvshighlevel,0,1.0,False,0.0,40.4681,10,5.0-5.7,624.0-648.0,5.3,636.0
sub-003,lowlevelvshighlevel,1,1.0,False,-0.0,3.9114,1,5.0-5.0,1224.0-1224.0,5.0,1224.0
sub-003,lowlevelvshighlevel,2,0.9999,False,0.0,49.7472,11,5.0-5.3,1380.0-1428.0,5.0,1404.0
sub-003,lowlevelvshighlevel,3,0.4138,False,0.0,743.9982,148,9.0-14.1,1740.0-1992.0,10.9,1860.0
sub-003,lowlevelvshighlevel,4,0.8182,False,0.0,334.5985,54,13.7-16.6,672.0-780.0,15.1,720.0
sub-003,lowlevelvshighlevel,5,0.3673,False,0.0,819.8148,131,14.1-20.9,1812.0-1992.0,16.6,1872.0
sub-003,lowlevelvshighlevel,6,0.9994,False,0.0,69.7619,15,16.1-16.6,1164.0-1248.0,16.1,1200.0
sub-003,lowlevelvshighlevel,7,1.0,False,0.0,3.9082,1,19.6-19.6,720.0-720.0,19.6,720.0
sub-003,lowlevelvshighlevel,8,0.9996,False,0.0,63.1916,15,20.2-21.6,636.0-708.0,20.9,660.0
sub-003,lowlevelvshighlevel,9,0.9998,False,-0.0,53.3302,12,25.4-26.2,1668.0-1752.0,25.4,1704.0
sub-003,lowlevelvshighlevel,10,0.9858,False,-0.0,147.9917,28,30.8-32.9,1200.0-1344.0,30.8,1260.0
sub-003,lowlevelvshighlevel,11,1.0,False,0.0,8.7284,2,34.0-34.0,600.0-612.0,34.0,600.0
sub-003,lowlevelvshighlevel,12,1.0,False,-0.0,3.897,1,35.1-35.1,792.0-792.0,35.1,792.0
sub-003,lowlevelvshighlevel,13,1.0,False,-0.0,27.3778,6,37.5-37.5,1536.0-1596.0,37.5,1572.0
sub-003,lowlevelvshighlevel,14,1.0,False,-0.0,23.259,5,40.0-40.0,1116.0-1164.0,40.0,1140.0
sub-003,lowlevelvsbase,0,1.0,False,-0.0,20.006,5,5.0-5.2,1260.0-1284.0,5.0,1272.0
sub-003,lowlevelvsbase,1,0.3403,False,0.0,863.0973,159,8.4-11.6,1752.0-1968.0,10.6,1812.0
sub-003,lowlevelvsbase,2,0.9861,False,0.0,151.0916,33,10.2-12.0,828.0-900.0,11.3,864.0
sub-003,lowlevelvsbase,3,0.9266,False,-0.0,238.1256,48,15.6-18.9,1620.0-1752.0,16.6,1668.0
sub-003,lowlevelvsbase,4,0.2674,False,-0.0,1051.7371,168,20.2-30.8,972.0-1176.0,27.1,1080.0
sub-003,lowlevelvsbase,5,0.0046,True,-0.0,6582.578,675,23.0-40.0,1032.0-2052.0,36.3,1800.0
sub-003,lowlevelvsbase,6,1.0,False,-0.0,35.548,8,23.0-23.8,1968.0-2004.0,23.8,1992.0
sub-003,lowlevelvsbase,7,0.9797,False,-0.0,165.3546,36,24.6-28.9,636.0-828.0,28.0,732.0
sub-003,lowlevelvsbase,8,0.2462,False,-0.0,1119.6346,139,31.9-40.0,600.0-1056.0,40.0,600.0
sub-003,highlevelvsbase,0,1.0,False,-0.0,34.7791,8,5.0-5.2,1416.0-1464.0,5.0,1440.0
sub-003,highlevelvsbase,1,0.8084,False,0.0,346.1731,60,9.9-12.4,804.0-900.0,11.3,852.0
sub-003,highlevelvsbase,2,0.3661,False,-0.0,818.099,142,12.8-20.9,1692.0-1908.0,15.6,1836.0
sub-003,highlevelvsbase,3,1.0,False,-0.0,48.0805,11,16.1-16.6,1140.0-1200.0,16.1,1176.0
sub-003,highlevelvsbase,4,1.0,False,-0.0,12.4979,3,20.2-20.9,600.0-612.0,20.9,600.0
sub-003,highlevelvsbase,5,0.6446,False,-0.0,480.6363,95,20.9-28.0,960.0-1248.0,22.3,1176.0
sub-003,highlevelvsbase,6,0.982,False,-0.0,163.5088,33,20.9-23.0,1932.0-2040.0,21.6,1992.0
sub-003,highlevelvsbase,7,0.7829,False,-0.0,367.427,55,23.8-28.9,600.0-696.0,25.4,612.0
sub-003,highlevelvsbase,8,0.0048,True,-0.0,6015.2303,683,24.6-40.0,1008.0-2100.0,35.1,1776.0
sub-003,highlevelvsbase,9,0.8609,False,-0.0,304.5555,44,31.9-35.1,816.0-984.0,32.9,864.0
sub-003,highlevelvsbase,10,0.404,False,-0.0,756.5352,81,32.9-40.0,600.0-888.0,40.0,708.0
sub-003,lowlevelvshighlevel,0,1.0,False,0.0,40.4681,10,5.0-5.7,624.0-648.0,5.3,636.0
sub-003,lowlevelvshighlevel,1,1.0,False,-0.0,3.9114,1,5.0-5.0,1224.0-1224.0,5.0,1224.0
sub-003,lowlevelvshighlevel,2,0.9999,False,0.0,49.7472,11,5.0-5.3,1380.0-1428.0,5.0,1404.0
sub-003,lowlevelvshighlevel,3,0.4138,False,0.0,743.9982,148,9.0-14.1,1740.0-1992.0,10.9,1860.0
sub-003,lowlevelvshighlevel,4,0.8182,False,0.0,334.5985,54,13.7-16.6,672.0-780.0,15.1,720.0
sub-003,lowlevelvshighlevel,5,0.3673,False,0.0,819.8148,131,14.1-20.9,1812.0-1992.0,16.6,1872.0
sub-003,lowlevelvshighlevel,6,0.9994,False,0.0,69.7619,15,16.1-16.6,1164.0-1248.0,16.1,1200.0
sub-003,lowlevelvshighlevel,7,1.0,False,0.0,3.9082,1,19.6-19.6,720.0-720.0,19.6,720.0
sub-003,lowlevelvshighlevel,8,0.9996,False,0.0,63.1916,15,20.2-21.6,636.0-708.0,20.9,660.0
sub-003,lowlevelvshighlevel,9,0.9998,False,-0.0,53.3302,12,25.4-26.2,1668.0-1752.0,25.4,1704.0
sub-003,lowlevelvshighlevel,10,0.9858,False,-0.0,147.9917,28,30.8-32.9,1200.0-1344.0,30.8,1260.0
sub-003,lowlevelvshighlevel,11,1.0,False,0.0,8.7284,2,34.0-34.0,600.0-612.0,34.0,600.0
sub-003,lowlevelvshighlevel,12,1.0,False,-0.0,3.897,1,35.1-35.1,792.0-792.0,35.1,792.0
sub-003,lowlevelvshighlevel,13,1.0,False,-0.0,27.3778,6,37.5-37.5,1536.0-1596.0,37.5,1572.0
sub-003,lowlevelvshighlevel,14,1.0,False,-0.0,23.259,5,40.0-40.0,1116.0-1164.0,40.0,1140.0
sub-003,lowlevelvsbase,0,1.0,False,-0.0,20.006,5,5.0-5.2,1260.0-1284.0,5.0,1272.0
sub-003,lowlevelvsbase,1,0.3403,False,0.0,863.0973,159,8.4-11.6,1752.0-1968.0,10.6,1812.0
sub-003,lowlevelvsbase,2,0.9861,False,0.0,151.0916,33,10.2-12.0,828.0-900.0,11.3,864.0
sub-003,lowlevelvsbase,3,0.9266,False,-0.0,238.1256,48,15.6-18.9,1620.0-1752.0,16.6,1668.0
sub-003,lowlevelvsbase,4,0.2674,False,-0.0,1051.7371,168,20.2-30.8,972.0-1176.0,27.1,1080.0
sub-003,lowlevelvsbase,5,0.0046,True,-0.0,6582.578,675,23.0-40.0,1032.0-2052.0,36.3,1800.0
sub-003,lowlevelvsbase,6,1.0,False,-0.0,35.548,8,23.0-23.8,1968.0-2004.0,23.8,1992.0
sub-003,lowlevelvsbase,7,0.9797,False,-0.0,165.3546,36,24.6-28.9,636.0-828.0,28.0,732.0
sub-003,lowlevelvsbase,8,0.2462,False,-0.0,1119.6346,139,31.9-40.0,600.0-1056.0,40.0,600.0
sub-003,highlevelvsbase,0,1.0,False,-0.0,34.7791,8,5.0-5.2,1416.0-1464.0,5.0,1440.0
sub-003,highlevelvsbase,1,0.8084,False,0.0,346.1731,60,9.9-12.4,804.0-900.0,11.3,852.0
sub-003,highlevelvsbase,2,0.3661,False,-0.0,818.099,142,12.8-20.9,1692.0-1908.0,15.6,1836.0
sub-003,highlevelvsbase,3,1.0,False,-0.0,48.0805,11,16.1-16.6,1140.0-1200.0,16.1,1176.0
sub-003,highlevelvsbase,4,1.0,False,-0.0,12.4979,3,20.2-20.9,600.0-612.0,20.9,600.0
sub-003,highlevelvsbase,5,0.6446,False,-0.0,480.6363,95,20.9-28.0,960.0-1248.0,22.3,1176.0
sub-003,highlevelvsbase,6,0.982,False,-0.0,163.5088,33,20.9-23.0,1932.0-2040.0,21.6,1992.0
sub-003,highlevelvsbase,7,0.7829,False,-0.0,367.427,55,23.8-28.9,600.0-696.0,25.4,612.0
sub-003,highlevelvsbase,8,0.0048,True,-0.0,6015.2303,683,24.6-40.0,1008.0-2100.0,35.1,1776.0
sub-003,highlevelvsbase,9,0.8609,False,-0.0,304.5555,44,31.9-35.1,816.0-984.0,32.9,864.0
sub-003,highlevelvsbase,10,0.404,False,-0.0,756.5352,81,32.9-40.0,600.0-888.0,40.0,708.0
sub-003,lowlevelvshighlevel,0,1.0,False,0.0,40.4681,10,5.0-5.7,624.0-648.0,5.3,636.0
sub-003,lowlevelvshighlevel,1,1.0,False,-0.0,3.9114,1,5.0-5.0,1224.0-1224.0,5.0,1224.0
sub-003,lowlevelvshighlevel,2,0.9999,False,0.0,49.7472,11,5.0-5.3,1380.0-1428.0,5.0,1404.0
sub-003,lowlevelvshighlevel,3,0.4138,False,0.0,743.9982,148,9.0-14.1,1740.0-1992.0,10.9,1860.0
sub-003,lowlevelvshighlevel,4,0.8182,False,0.0,334.5985,54,13.7-16.6,672.0-780.0,15.1,720.0
sub-003,lowlevelvshighlevel,5,0.3673,False,0.0,819.8148,131,14.1-20.9,1812.0-1992.0,16.6,1872.0
sub-003,lowlevelvshighlevel,6,0.9994,False,0.0,69.7619,15,16.1-16.6,1164.0-1248.0,16.1,1200.0
sub-003,lowlevelvshighlevel,7,1.0,False,0.0,3.9082,1,19.6-19.6,720.0-720.0,19.6,720.0
sub-003,lowlevelvshighlevel,8,0.9996,False,0.0,63.1916,15,20.2-21.6,636.0-708.0,20.9,660.0
sub-003,lowlevelvshighlevel,9,0.9998,False,-0.0,53.3302,12,25.4-26.2,1668.0-1752.0,25.4,1704.0
sub-003,lowlevelvshighlevel,10,0.9858,False,-0.0,147.9917,28,30.8-32.9,1200.0-1344.0,30.8,1260.0
sub-003,lowlevelvshighlevel,11,1.0,False,0.0,8.7284,2,34.0-34.0,600.0-612.0,34.0,600.0
sub-003,lowlevelvshighlevel,12,1.0,False,-0.0,3.897,1,35.1-35.1,792.0-792.0,35.1,792.0
sub-003,lowlevelvshighlevel,13,1.0,False,-0.0,27.3778,6,37.5-37.5,1536.0-1596.0,37.5,1572.0
sub-003,lowlevelvshighlevel,14,1.0,False,-0.0,23.259,5,40.0-40.0,1116.0-1164.0,40.0,1140.0
sub-003,lowlevelvsbase,0,1.0,False,-0.0,20.006,5,5.0-5.2,1260.0-1284.0,5.0,1272.0
sub-003,lowlevelvsbase,1,0.3403,False,0.0,863.0973,159,8.4-11.6,1752.0-1968.0,10.6,1812.0
sub-003,lowlevelvsbase,2,0.9861,False,0.0,151.0916,33,10.2-12.0,828.0-900.0,11.3,864.0
sub-003,lowlevelvsbase,3,0.9266,False,-0.0,238.1256,48,15.6-18.9,1620.0-1752.0,16.6,1668.0
sub-003,lowlevelvsbase,4,0.2674,False,-0.0,1051.7371,168,20.2-30.8,972.0-1176.0,27.1,1080.0
sub-003,lowlevelvsbase,5,0.0046,True,-0.0,6582.578,675,23.0-40.0,1032.0-2052.0,36.3,1800.0
sub-003,lowlevelvsbase,6,1.0,False,-0.0,35.548,8,23.0-23.8,1968.0-2004.0,23.8,1992.0
sub-003,lowlevelvsbase,7,0.9797,False,-0.0,165.3546,36,24.6-28.9,636.0-828.0,28.0,732.0
sub-003,lowlevelvsbase,8,0.2462,False,-0.0,1119.6346,139,31.9-40.0,600.0-1056.0,40.0,600.0
sub-003,highlevelvsbase,0,1.0,False,-0.0,34.7791,8,5.0-5.2,1416.0-1464.0,5.0,1440.0
sub-003,highlevelvsbase,1,0.8084,False,0.0,346.1731,60,9.9-12.4,804.0-900.0,11.3,852.0
sub-003,highlevelvsbase,2,0.3661,False,-0.0,818.099,142,12.8-20.9,1692.0-1908.0,15.6,1836.0
sub-003,highlevelvsbase,3,1.0,False,-0.0,48.0805,11,16.1-16.6,1140.0-1200.0,16.1,1176.0
sub-003,highlevelvsbase,4,1.0,False,-0.0,12.4979,3,20.2-20.9,600.0-612.0,20.9,600.0
sub-003,highlevelvsbase,5,0.6446,False,-0.0,480.6363,95,20.9-28.0,960.0-1248.0,22.3,1176.0
sub-003,highlevelvsbase,6,0.982,False,-0.0,163.5088,33,20.9-23.0,1932.0-2040.0,21.6,1992.0
sub-003,highlevelvsbase,7,0.7829,False,-0.0,367.427,55,23.8-28.9,600.0-696.0,25.4,612.0
sub-003,highlevelvsbase,8,0.0048,True,-0.0,6015.2303,683,24.6-40.0,1008.0-2100.0,35.1,1776.0
sub-003,highlevelvsbase,9,0.8609,False,-0.0,304.5555,44,31.9-35.1,816.0-984.0,32.9,864.0
sub-003,highlevelvsbase,10,0.404,False,-0.0,756.5352,81,32.9-40.0,600.0-888.0,40.0,708.0
sub-003,lowlevelvshighlevel,0,1.0,False,0.0,40.4681,10,5.0-5.7,624.0-648.0,5.3,636.0
sub-003,lowlevelvshighlevel,1,1.0,False,-0.0,3.9114,1,5.0-5.0,1224.0-1224.0,5.0,1224.0
sub-003,lowlevelvshighlevel,2,0.9999,False,0.0,49.7472,11,5.0-5.3,1380.0-1428.0,5.0,1404.0
sub-003,lowlevelvshighlevel,3,0.4138,False,0.0,743.9982,148,9.0-14.1,1740.0-1992.0,10.9,1860.0
sub-003,lowlevelvshighlevel,4,0.8182,False,0.0,334.5985,54,13.7-16.6,672.0-780.0,15.1,720.0
sub-003,lowlevelvshighlevel,5,0.3673,False,0.0,819.8148,131,14.1-20.9,1812.0-1992.0,16.6,1872.0
sub-003,lowlevelvshighlevel,6,0.9994,False,0.0,69.7619,15,16.1-16.6,1164.0-1248.0,16.1,1200.0
sub-003,lowlevelvshighlevel,7,1.0,False,0.0,3.9082,1,19.6-19.6,720.0-720.0,19.6,720.0
sub-003,lowlevelvshighlevel,8,0.9996,False,0.0,63.1916,15,20.2-21.6,636.0-708.0,20.9,660.0
sub-003,lowlevelvshighlevel,9,0.9998,False,-0.0,53.3302,12,25.4-26.2,1668.0-1752.0,25.4,1704.0
sub-003,lowlevelvshighlevel,10,0.9858,False,-0.0,147.9917,28,30.8-32.9,1200.0-1344.0,30.8,1260.0
sub-003,lowlevelvshighlevel,11,1.0,False,0.0,8.7284,2,34.0-34.0,600.0-612.0,34.0,600.0
sub-003,lowlevelvshighlevel,12,1.0,False,-0.0,3.897,1,35.1-35.1,792.0-792.0,35.1,792.0
sub-003,lowlevelvshighlevel,13,1.0,False,-0.0,27.3778,6,37.5-37.5,1536.0-1596.0,37.5,1572.0
sub-003,lowlevelvshighlevel,14,1.0,False,-0.0,23.259,5,40.0-40.0,1116.0-1164.0,40.0,1140.0
sub-003,lowlevelvsbase,0,1.0,False,-0.0,20.006,5,5.0-5.2,1260.0-1284.0,5.0,1272.0
sub-003,lowlevelvsbase,1,0.3403,False,0.0,863.0973,159,8.4-11.6,1752.0-1968.0,10.6,1812.0
sub-003,lowlevelvsbase,2,0.9861,False,0.0,151.0916,33,10.2-12.0,828.0-900.0,11.3,864.0
sub-003,lowlevelvsbase,3,0.9266,False,-0.0,238.1256,48,15.6-18.9,1620.0-1752.0,16.6,1668.0
sub-003,lowlevelvsbase,4,0.2674,False,-0.0,1051.7371,168,20.2-30.8,972.0-1176.0,27.1,1080.0
sub-003,lowlevelvsbase,5,0.0046,True,-0.0,6582.578,675,23.0-40.0,1032.0-2052.0,36.3,1800.0
sub-003,lowlevelvsbase,6,1.0,False,-0.0,35.548,8,23.0-23.8,1968.0-2004.0,23.8,1992.0
sub-003,lowlevelvsbase,7,0.9797,False,-0.0,165.3546,36,24.6-28.9,636.0-828.0,28.0,732.0
sub-003,lowlevelvsbase,8,0.2462,False,-0.0,1119.6346,139,31.9-40.0,600.0-1056.0,40.0,600.0
sub-003,highlevelvsbase,0,1.0,False,-0.0,34.7791,8,5.0-5.2,1416.0-1464.0,5.0,1440.0
sub-003,highlevelvsbase,1,0.8084,False,0.0,346.1731,60,9.9-12.4,804.0-900.0,11.3,852.0
sub-003,highlevelvsbase,2,0.3661,False,-0.0,818.099,142,12.8-20.9,1692.0-1908.0,15.6,1836.0
sub-003,highlevelvsbase,3,1.0,False,-0.0,48.0805,11,16.1-16.6,1140.0-1200.0,16.1,1176.0
sub-003,highlevelvsbase,4,1.0,False,-0.0,12.4979,3,20.2-20.9,600.0-612.0,20.9,600.0
sub-003,highlevelvsbase,5,0.6446,False,-0.0,480.6363,95,20.9-28.0,960.0-1248.0,22.3,1176.0
